L1_Density,L2_Density,L3_Density,L4_Density,L1_Next,L2_Next,L3_Next,L4_Next,L1_Wait,L2_Wait,L3_Wait,L4_Wait,Emergency_Type,Green_Lane,Reason,Green_Time
79,37,77,96,80,80,78,80,1,1,1,0,None,Lane 4,Density,10
57,30,24,24,36,67,90,46,0,2,2,1,Ambulance,Lane 1,Emergency_Ambulance,10
81,26,81,70,36,97,86,59,0,3,3,2,None,Lane 1,Density,6
41,88,40,85,74,92,31,90,1,4,0,3,Police,Lane 3,Emergency_Police,10
100,25,46,39,69,73,96,66,2,0,1,4,None,Lane 2,Starvation,3
98,89,28,42,25,61,95,99,0,1,2,5,Ambulance,Lane 1,Emergency_Ambulance,10
97,15,92,36,32,33,47,86,0,2,3,6,None,Lane 1,Gridlock_Avoidance,10
76,67,12,29,89,14,12,55,1,3,0,7,None,Lane 3,Starvation,3
20,76,49,14,98,65,48,22,2,0,1,8,None,Lane 2,Starvation,6
11,24,18,56,34,12,33,56,3,1,2,0,None,Lane 4,Starvation,3
83,70,53,29,58,90,12,69,4,2,0,1,Ambulance,Lane 3,Emergency_Ambulance,10
81,40,19,68,41,91,99,91,0,3,1,2,None,Lane 1,Starvation,6
25,20,90,67,96,76,99,76,1,4,0,3,Fire Truck,Lane 3,Emergency_Fire Truck,10
47,33,44,36,89,22,63,88,2,5,0,4,Police,Lane 3,Emergency_Police,10
21,35,48,59,44,79,46,86,3,6,0,5,Ambulance,Lane 3,Emergency_Ambulance,10
21,35,48,59,44,79,46,86,4,7,1,0,Police,Lane 4,Emergency_Police,10
86,21,87,24,44,53,82,37,5,8,2,0,Police,Lane 4,Emergency_Police,10
73,76,38,64,29,89,97,76,0,9,3,1,Ambulance,Lane 1,Emergency_Ambulance,10
41,28,26,87,74,71,44,57,0,10,4,2,Ambulance,Lane 1,Emergency_Ambulance,10
55,23,94,44,89,63,92,41,1,0,5,3,None,Lane 2,Starvation,3
81,63,55,22,11,20,37,33,2,1,0,4,None,Lane 3,Starvation,3
95,42,61,16,19,63,20,27,3,2,1,0,None,Lane 4,Starvation,3
94,79,47,42,52,32,78,64,4,0,2,1,Ambulance,Lane 2,Emergency_Ambulance,10
94,79,47,42,52,32,78,64,5,1,3,0,Ambulance,Lane 4,Emergency_Ambulance,10
94,79,47,42,52,32,78,64,6,2,0,1,Police,Lane 3,Emergency_Police,10
61,51,75,24,19,10,53,95,0,3,1,2,None,Lane 1,Starvation,3
96,34,66,65,52,67,77,14,0,4,2,3,Ambulance,Lane 1,Emergency_Ambulance,10
62,91,33,14,87,54,53,10,1,5,3,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
53,36,43,22,32,45,32,47,2,0,4,1,None,Lane 2,Starvation,3
44,67,90,36,93,61,42,59,3,1,0,2,None,Lane 3,Starvation,10
60,97,92,98,95,35,81,13,4,2,1,0,None,Lane 4,Gridlock_Avoidance,10
17,76,68,37,27,14,30,86,5,3,2,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
68,34,96,75,48,42,46,58,6,0,3,1,Ambulance,Lane 2,Emergency_Ambulance,10
50,34,17,92,23,70,32,13,0,1,4,2,None,Lane 1,Starvation,3
61,20,50,61,50,90,21,57,1,2,0,3,None,Lane 3,Starvation,3
21,41,20,29,19,67,74,77,2,0,1,4,Fire Truck,Lane 2,Emergency_Fire Truck,10
21,41,20,29,19,67,74,77,3,1,2,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
90,38,43,83,41,43,97,48,0,2,3,1,Police,Lane 1,Emergency_Police,10
74,46,27,85,99,57,59,64,1,3,0,2,None,Lane 3,Starvation,3
62,63,32,41,12,59,61,74,2,4,1,0,Police,Lane 4,Emergency_Police,10
63,29,13,20,79,53,92,47,3,5,0,1,Fire Truck,Lane 3,Emergency_Fire Truck,10
63,29,13,20,79,53,92,47,0,6,1,2,Police,Lane 1,Emergency_Police,10
48,68,84,87,27,54,41,86,1,0,2,3,None,Lane 2,Starvation,3
61,18,70,64,37,27,75,17,2,1,3,0,None,Lane 4,Starvation,3
30,50,11,96,35,24,24,74,3,0,4,1,Ambulance,Lane 2,Emergency_Ambulance,10
39,75,49,49,22,85,60,14,0,1,5,2,None,Lane 1,Starvation,3
97,57,36,14,51,85,68,21,1,2,0,3,None,Lane 3,Starvation,3
52,66,52,22,11,63,55,18,2,0,1,4,Ambulance,Lane 2,Emergency_Ambulance,10
52,66,52,22,11,63,55,18,0,1,2,5,Fire Truck,Lane 1,Emergency_Fire Truck,10
15,29,98,53,56,31,21,60,1,2,3,0,None,Lane 4,Starvation,3
30,41,15,57,20,64,88,92,0,3,4,1,Fire Truck,Lane 1,Emergency_Fire Truck,10
23,88,88,10,13,16,85,29,1,0,5,2,None,Lane 2,Starvation,10
67,46,28,10,45,28,87,52,0,1,6,3,None,Lane 1,Gridlock_Avoidance,3
22,42,81,63,34,53,40,30,1,2,0,4,None,Lane 3,Starvation,6
24,76,83,46,68,14,89,61,2,3,1,0,None,Lane 4,Starvation,3
11,11,58,87,39,13,31,61,0,4,2,1,Ambulance,Lane 1,Emergency_Ambulance,10
53,89,25,19,45,36,73,96,1,0,3,2,None,Lane 2,Starvation,10
81,86,60,96,48,33,95,17,2,0,4,3,Ambulance,Lane 2,Emergency_Ambulance,10
89,94,57,89,51,64,60,18,3,1,0,4,None,Lane 3,Starvation,3
17,53,82,23,87,67,97,80,4,2,0,5,Fire Truck,Lane 3,Emergency_Fire Truck,10
35,13,74,23,61,26,44,69,5,3,0,6,Ambulance,Lane 3,Emergency_Ambulance,10
83,74,10,24,41,35,69,64,0,4,1,7,None,Lane 1,Starvation,6
73,23,12,33,80,84,40,44,1,0,2,8,Ambulance,Lane 2,Emergency_Ambulance,10
73,23,12,33,80,84,40,44,2,1,0,9,Ambulance,Lane 3,Emergency_Ambulance,10
54,67,49,45,25,46,87,31,3,2,1,0,None,Lane 4,Starvation,3
65,60,86,35,48,10,14,94,0,3,2,1,None,Lane 1,Starvation,3
24,17,23,95,20,35,76,31,1,0,3,2,None,Lane 2,Starvation,3
46,20,55,77,90,78,85,83,0,1,4,3,Ambulance,Lane 1,Emergency_Ambulance,10
45,57,42,27,67,55,59,83,1,2,0,4,Police,Lane 3,Emergency_Police,10
74,36,50,95,84,89,70,14,2,3,1,0,Ambulance,Lane 4,Emergency_Ambulance,10
25,16,77,94,75,90,55,16,3,0,2,1,Ambulance,Lane 2,Emergency_Ambulance,10
25,16,77,94,75,90,55,16,4,1,0,2,Police,Lane 3,Emergency_Police,10
47,83,57,11,89,54,12,25,5,0,1,3,None,Lane 2,Gridlock_Avoidance,6
39,16,22,90,57,97,35,33,6,0,2,4,Police,Lane 2,Emergency_Police,10
99,71,38,21,35,41,87,45,0,1,3,5,Police,Lane 1,Emergency_Police,10
99,71,38,21,35,41,87,45,1,0,4,6,Police,Lane 2,Emergency_Police,10
47,98,40,66,100,85,82,26,2,1,5,0,None,Lane 4,Gridlock_Avoidance,3
86,31,88,52,10,85,41,60,3,0,6,1,Ambulance,Lane 2,Emergency_Ambulance,10
14,69,73,72,63,46,63,58,0,1,7,2,None,Lane 1,Starvation,3
88,10,74,90,92,32,74,40,0,2,8,3,Police,Lane 1,Emergency_Police,10
88,10,74,90,92,32,74,40,1,0,9,4,Police,Lane 2,Emergency_Police,10
13,37,80,58,34,96,85,15,2,0,10,5,Ambulance,Lane 2,Emergency_Ambulance,10
35,23,19,36,44,87,39,29,3,1,0,6,None,Lane 3,Starvation,3
79,31,64,63,59,19,100,82,4,2,1,0,Fire Truck,Lane 4,Emergency_Fire Truck,10
54,73,34,29,58,62,25,68,5,0,2,1,Ambulance,Lane 2,Emergency_Ambulance,10
54,73,34,29,58,62,25,68,6,1,0,2,Fire Truck,Lane 3,Emergency_Fire Truck,10
72,67,58,68,21,74,31,97,0,2,1,3,None,Lane 1,Starvation,6
60,24,64,83,50,22,55,17,1,3,2,0,None,Lane 4,Starvation,6
65,40,64,39,96,50,40,37,2,0,3,1,None,Lane 2,Starvation,3
40,82,97,65,17,26,25,71,3,1,0,2,None,Lane 3,Starvation,10
88,98,27,58,98,47,69,54,4,0,1,3,None,Lane 2,Gridlock_Avoidance,10
89,88,40,47,23,15,30,81,0,1,2,4,None,Lane 1,Starvation,10
64,52,57,14,30,41,63,50,1,2,3,0,None,Lane 4,Starvation,3
50,77,57,27,47,51,33,31,2,3,4,0,Ambulance,Lane 4,Emergency_Ambulance,10
50,77,57,27,47,51,33,31,3,0,5,1,Fire Truck,Lane 2,Emergency_Fire Truck,10
22,74,28,84,67,16,72,50,0,1,6,2,None,Lane 1,Starvation,3
